[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=5-axis Cradle safety limit, Owner=User, Creation date=2021/03/24 15:36:14"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\Users\User\Documents\User\Shimomura lab\program_shimomura lab\TiO2-LAO 2t-w 20-90 Ge220 dcore.xrdmp, Identifier={4F83D392-D46F-473C-9A04-935A26DDC74A}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0130 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,0.76mm
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,25/7/2022 10:29
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.00000,90.00000
Scan step size,0.0200000
Omega offset,0.0000
No. of points, 3500
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,0.00
Y,0.00
Z,9.338
Time per step,0.176
[Scan points]
Angle, TimePerStep, Intensity, ESD
25.49000, 0.176, 1.0, 1.0000
25.51000, 0.176, 5.0, 2.2361
25.53000, 0.176, 5.0, 2.2361
25.55000, 0.176, 8.0, 2.8284
25.57000, 0.176, 2.0, 1.4142
25.59000, 0.176, 3.0, 1.7321
25.61000, 0.176, 3.0, 1.7321
25.63000, 0.176, 6.0, 2.4495
25.65000, 0.176, 5.0, 2.2361
25.67000, 0.176, 3.0, 1.7321
25.69000, 0.176, 3.0, 1.7321
25.71000, 0.176, 2.0, 1.4142
25.73000, 0.176, 4.0, 2.0000
25.75000, 0.176, 5.0, 2.2361
25.77000, 0.176, 2.0, 1.4142
25.79000, 0.176, 6.0, 2.4495
25.81000, 0.176, 3.0, 1.7321
25.83000, 0.176, 5.0, 2.2361
25.85000, 0.176, 5.0, 2.2361
25.87000, 0.176, 4.0, 2.0000
25.89000, 0.176, 0.0, 0.0000
25.91000, 0.176, 1.0, 1.0000
25.93000, 0.176, 4.0, 2.0000
25.95000, 0.176, 5.0, 2.2361
25.97000, 0.176, 3.0, 1.7321
25.99000, 0.176, 7.0, 2.6458
26.01000, 0.176, 1.0, 1.0000
26.03000, 0.176, 4.0, 2.0000
26.05000, 0.176, 9.0, 3.0000
26.07000, 0.176, 3.0, 1.7321
26.09000, 0.176, 1.0, 1.0000
26.11000, 0.176, 5.0, 2.2361
26.13000, 0.176, 2.0, 1.4142
26.15000, 0.176, 4.0, 2.0000
26.17000, 0.176, 3.0, 1.7321
26.19000, 0.176, 3.0, 1.7321
26.21000, 0.176, 5.0, 2.2361
26.23000, 0.176, 3.0, 1.7321
26.25000, 0.176, 3.0, 1.7321
26.27000, 0.176, 2.0, 1.4142
26.29000, 0.176, 3.0, 1.7321
26.31000, 0.176, 4.0, 2.0000
26.33000, 0.176, 1.0, 1.0000
26.35000, 0.176, 6.0, 2.4495
26.37000, 0.176, 5.0, 2.2361
26.39000, 0.176, 5.0, 2.2361
26.41000, 0.176, 1.0, 1.0000
26.43000, 0.176, 4.0, 2.0000
26.45000, 0.176, 3.0, 1.7321
26.47000, 0.176, 3.0, 1.7321
26.49000, 0.176, 8.0, 2.8284
26.51000, 0.176, 3.0, 1.7321
26.53000, 0.176, 4.0, 2.0000
26.55000, 0.176, 2.0, 1.4142
26.57000, 0.176, 3.0, 1.7321
26.59000, 0.176, 2.0, 1.4142
26.61000, 0.176, 9.0, 3.0000
26.63000, 0.176, 5.0, 2.2361
26.65000, 0.176, 1.0, 1.0000
26.67000, 0.176, 5.0, 2.2361
26.69000, 0.176, 4.0, 2.0000
26.71000, 0.176, 4.0, 2.0000
26.73000, 0.176, 2.0, 1.4142
26.75000, 0.176, 3.0, 1.7321
26.77000, 0.176, 1.0, 1.0000
26.79000, 0.176, 2.0, 1.4142
26.81000, 0.176, 3.0, 1.7321
26.83000, 0.176, 1.0, 1.0000
26.85000, 0.176, 3.0, 1.7321
26.87000, 0.176, 3.0, 1.7321
26.89000, 0.176, 4.0, 2.0000
26.91000, 0.176, 0.0, 0.0000
26.93000, 0.176, 4.0, 2.0000
26.95000, 0.176, 3.0, 1.7321
26.97000, 0.176, 3.0, 1.7321
26.99000, 0.176, 2.0, 1.4142
27.01000, 0.176, 6.0, 2.4495
27.03000, 0.176, 3.0, 1.7321
27.05000, 0.176, 5.0, 2.2361
27.07000, 0.176, 2.0, 1.4142
27.09000, 0.176, 4.0, 2.0000
27.11000, 0.176, 2.0, 1.4142
27.13000, 0.176, 2.0, 1.4142
27.15000, 0.176, 4.0, 2.0000
27.17000, 0.176, 8.0, 2.8284
27.19000, 0.176, 5.0, 2.2361
27.21000, 0.176, 3.0, 1.7321
27.23000, 0.176, 7.0, 2.6458
27.25000, 0.176, 6.0, 2.4495
27.27000, 0.176, 4.0, 2.0000
27.29000, 0.176, 5.0, 2.2361
27.31000, 0.176, 2.0, 1.4142
27.33000, 0.176, 2.0, 1.4142
27.35000, 0.176, 0.0, 0.0000
27.37000, 0.176, 1.0, 1.0000
27.39000, 0.176, 3.0, 1.7321
27.41000, 0.176, 3.0, 1.7321
27.43000, 0.176, 4.0, 2.0000
27.45000, 0.176, 3.0, 1.7321
27.47000, 0.176, 6.0, 2.4495
